Tracing lock events... Hit Ctrl-C to end.

                                  Caller                                  Process        PID   Avg Spin  Count   Max spin Total spin
       b'__jbd2_log_wait_for_space+0xdb'                                  b'dpkg'      14175       4172    307     228481    1281091
              b'kernfs_fop_release+0x3a'                         b'systemd-udevd'        723        588 285053     184195  167769256
            b'ep_eventpoll_release+0x1a'                         b'systemd-udevd'      16352      15075    236     175462    3557763
                         b'__fput+0x1ff'                         b'systemd-udevd'      16352      13218    470     174405    6212669
               b'addrconf_dad_work+0x3e'                          b'kworker/10:2'       1096      21998     25     157082     549952
                    b'devinfo_show+0x3e'                               b'systemd'          1        535 310688     146129  166223843
                      b'__vfs_read+0x1b'                               b'systemd'          1        905  94283     144036   85335250
                b'inode_permission+0xe7'                               b'systemd'          1        548  50969     143738   27939521
                    b'lookup_fast+0x281'                               b'systemd'          1        674 312841     138697  211093454
                    b'lookup_fast+0x281'                               b'systemd'          1        527 104045     130430   54923671
       b'__jbd2_log_wait_for_space+0xdb'                       b'systemd-journal'        679      75310      5     127791     376553
               b'trailing_symlink+0x1d1'                       b'systemd-network'       1240      11464   1889     127347   21656317
                b'inode_permission+0xe7'                               b'systemd'          1        855 159819     123485  136787629
                b'inode_permission+0xe7'                         b'systemd-udevd'        723        633 344958     119979  218456588
                    b'lookup_fast+0x281'                               b'systemd'          1       6317   7109     114466   44914194
                          b'__fput+0xcc'                              b'watchdog'       1356        588 131522     109349   77465771
               b'vfs_getattr_nosec+0x9b'                               b'systemd'          1        559  71007     100350   39751525
            b'__kernfs_create_file+0x7f'                          b'kworker/20:2'        409       6627  21824      93050  144629797
                b'inode_permission+0xe7'                               b'systemd'          1        547  73554      92846   40291196
               b'kmem_cache_create+0x16'                        b'runc:[1:CHILD]'       6844      90074      1      90074      90074
                  b'kernfs_add_one+0xe2'                          b'kworker/20:2'        409       6483    704      83637    4564079
                b'inode_permission+0xe7'                                   b'sed'      16654       2932   2264      83069    6638381
                b'inode_permission+0xe7'                                   b'sed'      16654       1316   2264      80861    2980319
                   b'__lookup_slow+0x92'                                   b'sed'      16654       1296   2208      80187    2863596
               b'vfs_getattr_nosec+0x9b'                               b'systemd'          1        528  49984      77036   26439848
                    b'lookup_fast+0x281'                                   b'sed'      16654       1373   2297      76725    3154564
                b'inode_permission+0xe7'                               b'systemd'          1        587  83682      76308   49150018
                   b'do_syscall_64+0x57'                               b'dockerd'       4655       1411  24981      68230   35265050
                b'inode_permission+0xe7'                               b'systemd'          1        542  50315      64095   27315560
         b'cpu_cfs_quota_write_s64+0x42'                               b'systemd'          1        526   7982      62452    4199381
                    b'sock_recvmsg+0x70'                               b'systemd'          1       1894   7314      61839   13857650
                   b'kernfs_remove+0x3b'                          b'kworker/24:0'       6737       6681    561      60914    3748181
