Tracing lock events... Hit Ctrl-C to end.

                                  Caller                                  Process        PID   Avg Spin  Count   Max spin Total spin
       b'__jbd2_log_wait_for_space+0xdb'                       b'dictionaries-co'      14365       2848      4       3824      11395
                     b'chrdev_open+0xd3'                       b'systemd-getty-g'      16631       1460     47       3804      68664
                   b'cgroup_mkdir+0x12a'                               b'systemd'          1        806    197       3793     158930
                 b'exec_mm_release+0x18'                         b'kworker/u65:7'       8915       3102      5       3751      15514
             b'__nfs_commit_inode+0x129'                               b'python3'       6849       3717      1       3717       3717
                 b'exec_mm_release+0x18'                       b'containerd-shim'       6823       3467      3       3708      10402
                 b'exit_mm_release+0x18'                         b'kworker/dying'       5840       1382     55       3707      76023
            b'kernfs_create_dir_ns+0x53'                               b'dockerd'       4655       1398     14       3687      19575
                   b'kobject_uevent+0xb'                               b'dockerd'       4655       2874     15       3678      43116
                 b'netdev_run_todo+0x6f'                               b'dockerd'       4655       2631      2       3670       5262
       b'key_instantiate_and_link+0x172'                            b'(otd-news)'      16644       1998     22       3660      43967
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1328     14       3652      18601
             b'sysfs_rename_dir_ns+0x37'                               b'dockerd'       4655       1647     15       3651      24710
             b'ext4_mb_new_blocks+0x137'                               b'dockerd'       4655       2163     10       3634      21633
                b'netdev_run_todo+0x1b4'                               b'dockerd'       4655       2413      4       3608       9652
            b'__kernfs_create_file+0x7f'                               b'dockerd'       4655       1206     70       3599      84420
                   b'__lookup_hash+0x70'                               b'systemd'          1        787    197       3598     155192
                   b'may_setgroups+0x3f'                          b'avahi-daemon'      16339       1745    185       3584     323008
                  b'ext4_truncate+0x16b'                               b'dockerd'       4655       2545     57       3581     145119
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1114     70       3578      77999
                b'inode_permission+0xe7'                       b'systemd-gpt-aut'      16633        814    284       3574     231359
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1858     14       3551      26025
                       b'__vunmap+0x128'                          b'kworker/13:1'        276       3547      1       3547       3547
             b'addrconf_verify_work+0xe'                         b'kworker/14:13'       6483       3268      5       3541      16340
            b'kernfs_create_dir_ns+0x53'                               b'systemd'          1        921    197       3536     181532
                   b'__lookup_slow+0x92'                               b'systemd'          1        721     60       3532      43260
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1739     14       3498      24348
                     b'ext4_rmdir+0x227'                               b'dockerd'       4655       1214    608       3451     738294
                   b'__lookup_slow+0x92'                         b'systemd-udevd'      15945       3449      1       3449       3449
                     b'shmem_mknod+0x2b'                               b'dockerd'       4655       1924     31       3444      59644
                     b'tty_release+0x55'                               b'apt-get'       8821       1294     45       3434      58240
                 b'netlink_rcv_skb+0x50'                               b'dockerd'       4655        981   1891       3421    1855889
                    b'chrdev_open+0x12d'                               b'apt-get'       8821       1271     11       3421      13988
         b'ovl_lock_rename_workdir+0x21'                               b'dockerd'       4655       2209     12       3384      26509
               b'cpuset_css_online+0x6f'                                  b'runc'       6835       3380      1       3380       3380
                       b'__vunmap+0x128'                          b'kworker/13:1'        276       3004      2       3377       6008
                    b'alloc_super+0x290'                            b'(ostnamed)'      16061       2147      7       3373      15029
        b'kernfs_remove_by_name_ns+0x55'                               b'dockerd'       4655        989     20       3356      19787
       b'__jbd2_log_wait_for_space+0xdb'                       b'gtk-update-icon'      14314       3352      1       3352       3352
              b'sysfs_remove_group+0x2a'                               b'dockerd'       4655       1277      4       3344       5110
                     b'shmem_mknod+0x2b'                       b'systemd-resolve'       1097       2653      3       3327       7959
               b'rhashtable_destroy+0xd'                               b'dockerd'       4655       3085      2       3274       6170
                    b'ext4_rename+0x8d1'                                  b'dpkg'      14175       1712    148       3244     253397
                b'inode_permission+0xe7'                            b'(ostnamed)'      16061        670     38       3237      25470
                           b'evict+0xd2'                       b'systemd-hostnam'      16061       1318     25       3233      32969
             b'sysfs_unmerge_group+0x42'                               b'dockerd'       4655        895     36       3231      32236
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1343     14       3227      18805
             b'notifier_call_chain+0x55'                               b'dockerd'       4655       1506     30       3223      45189
                    b'devinfo_show+0x63'                               b'systemd'          1        562    608       3221     342280
       b'__jbd2_log_wait_for_space+0xdb'                              b'groupadd'      14599       2617      4       3207      10469
                   b'__lookup_slow+0xf4'                         b'systemd-udevd'       6800       3199      1       3199       3199
                   b'ext4_setattr+0x7fe'                               b'dockerd'       4655       1382    145       3184     200518
         b'nfs_mark_request_commit+0x4b'                         b'kworker/u65:1'       6584       1158     53       3173      61416
                           b'mmput+0x27'                       b'dpkg-preconfigu'       8914       3148      2       3157       6297
         b'deactivate_locked_super+0x48'                               b'dockerd'       4655       2233     30       3147      67014
                   b'__lookup_slow+0x92'                               b'systemd'          1        571   1533       3124     875510
                   b'__lookup_slow+0x92'                            b'(ostnamed)'      16061        435    118       3110      51350
             b'notifier_call_chain+0x55'                            b'(ostnamed)'      16061       3040      2       3101       6081
                b'sysfs_remove_dir+0x51'                               b'dockerd'       4655       2336      2       3091       4673
                b'wait_for_partner+0x31'                         b'runc:[2:INIT]'       6849       3083      1       3083       3083
                     b'get_gendisk+0x31'                       b'systemd-gpt-aut'      16633       1282     49       3075      62846
               b'process_one_work+0x1eb'                         b'kworker/u66:3'      14225       1951     12       3064      23414
                   b'fqdir_work_fn+0x2c'                          b'kworker/25:1'        288       2039      3       3062       6118
                    b'alloc_super+0x290'                        b'runc:[1:CHILD]'       6844       3054      1       3054       3054
                   b'do_renameat2+0x2b8'                                  b'dpkg'       8920       1404   2271       3023    3188625
       b'__jbd2_log_wait_for_space+0xdb'                                  b'dpkg'       8920       2502      3       3021       7506
               b'ext4_evict_inode+0x30b'                         b'systemd-udevd'        723        850   1018       3013     865744
            b'kernfs_create_dir_ns+0x53'                               b'dockerd'       4655       1277     14       2990      17885
              b'sysfs_remove_group+0x50'                               b'dockerd'       4655       1421      4       2963       5684
                        b'tty_open+0x9f'                       b'apache2.postins'      16413       2701      7       2930      18909
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1111     28       2929      31115
                   b'ext4_symlink+0x1de'                       b'update-alternat'      14404        876    610       2927     534597
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1243     14       2917      17410
                    b'blkdev_close+0x26'                       b'systemd-gpt-aut'      16633       1244     49       2916      60956
                    b'ext4_sync_fs+0x50'                               b'dockerd'       4655       1383     30       2914      41519
                b'inode_permission+0xe7'                               b'systemd'          1        793    197       2901     156321
            b'sysfs_rename_link_ns+0x74'                               b'dockerd'       4655       1654     15       2873      24820
                      b'device_add+0xed'                               b'dockerd'       4655       1692     14       2856      23689
         b'ovl_lock_rename_workdir+0x21'                               b'dockerd'       4655       1795     16       2847      28732
  b'__cgroup_bpf_run_filter_sysctl+0xc8'                                b'sysctl'       6967        731     68       2843      49710
              b'ctnetlink_net_init+0x1c'                            b'(ostnamed)'      16061       1870      2       2813       3741
             b'remove_files.isra.0+0x35'                               b'dockerd'       4655       1095     20       2791      21913
                    b'alloc_super+0x290'                               b'dockerd'       4655       1868     42       2787      78478
                   b'kernfs_remove+0x3b'                               b'dockerd'       4655       1355      4       2771       5421
         b'ovl_lock_rename_workdir+0x21'                               b'dockerd'       4655       1801     37       2769      66646
          b'fsnotify_destroy_group+0x4c'                               b'systemd'          1        809    604       2768     489031
                      b'device_add+0xed'                               b'dockerd'       4655       1934     14       2746      27080
                         b'__fput+0x1ff'                       b'containerd-shim'       6823       1289     52       2743      67053
                      b'tty_ioctl+0x37d'                       b'systemd-getty-g'      16631       1337     36       2740      48157
         b'ovl_lock_rename_workdir+0x21'                               b'dockerd'       4655       1624     37       2739      60092
             b'remove_files.isra.0+0x35'                               b'dockerd'       4655       1278      8       2710      10229
             b'sysfs_unmerge_group+0x42'                               b'dockerd'       4655        866     16       2697      13866
            b'sysfs_rename_link_ns+0x43'                               b'dockerd'       4655       1888     15       2676      28331
            b'kernfs_create_dir_ns+0x53'                            b'(ostnamed)'      16061       2076      2       2663       4153
                    b'rtnl_newlink+0x49'                               b'dockerd'       4655       2651      1       2651       2651
                     b'device_add+0x37f'                               b'dockerd'       4655       1536     14       2647      21516
                           b'mmput+0x27'                       b'containerd-shim'       6823       1554     24       2647      37301
                b'inode_permission+0xe7'                                  b'lshw'       6960        723     57       2635      41225
                        b'do_exit+0x38c'                       b'containerd-shim'       6814       2633      1       2633       2633
            b'__kernfs_create_file+0x7f'                               b'dockerd'       4655       1101     70       2621      77133
            b'layout_and_allocate+0x5e7'                              b'modprobe'       6798       2593      1       2593       2593
              b'sysfs_remove_group+0x2a'                               b'dockerd'       4655       1225      4       2588       4901
            b'kernfs_create_dir_ns+0x53'                               b'dockerd'       4655       1193     14       2569      16702
                        b'do_exit+0x38c'                         b'kworker/dying'       5840       1286     55       2563      70756
            b'kernfs_create_dir_ns+0x53'                               b'dockerd'       4655       1440     14       2513      20169
             b'notifier_call_chain+0x55'                               b'dockerd'       4655       1451     15       2500      21776
                   b'kobject_uevent+0xb'                               b'dockerd'       4655       1267     14       2458      17744
                          b'__fput+0xcc'                       b'containerd-shim'       6823       1264     66       2439      83480
        b'kernfs_remove_by_name_ns+0x55'                               b'dockerd'       4655       1255      4       2433       5022
          b'fsnotify_destroy_group+0x4c'                           b'packagekitd'       6453       1509      4       2409       6036
          b'cgroup_bpf_prog_detach+0x52'                               b'systemd'          1        659    418       2395     275468
         b'ovl_lock_rename_workdir+0x21'                               b'dockerd'       4655       1999      6       2393      11996
             b'ext4_mb_new_blocks+0x137'                                  b'gpgv'       8748       1412     75       2373     105926
                         b'sd_open+0x28'                       b'systemd-gpt-aut'      16633       1114     39       2356      43477
                   b'kernfs_remove+0x3b'                               b'dockerd'       4655       1040     66       2338      68667
            b'kernfs_create_dir_ns+0x53'                               b'dockerd'       4655       1235     14       2336      17300
                    b'ext4_rename+0x8d1'                               b'dockerd'       4655       1289     37       2333      47710
                          b'__fput+0xcc'                       b'dpkg-maintscrip'      15080       1267     14       2323      17746
             b'cgroup_seqfile_show+0x56'                                  b'runc'       6891       1211      5       2321       6057
                 b'kobject_rename+0x138'                               b'dockerd'       4655       1574     15       2306      23614
                        b'seq_read+0xb7'                              b'collectl'      15015        865    267       2306     231194
                   b'kobject_uevent+0xb'                               b'dockerd'       4655       1587     15       2299      23817
                   b'kobject_uevent+0xb'                               b'dockerd'       4655       1452     14       2290      20336
                  b'ext4_truncate+0x376'                               b'dockerd'       4655        936    145       2289     135735
               b'sysfs_delete_link+0x54'                               b'dockerd'       4655       1205      4       2286       4822
       b'fscache_max_active_sysctl+0x39'                                b'sysctl'       6967       1505      4       2269       6021
                   b'kobject_uevent+0xb'                            b'(ostnamed)'      16061       1519      2       2256       3039
              b'ctnetlink_net_init+0x33'                            b'(ostnamed)'      16061       1478      2       2246       2957
               b'sysfs_merge_group+0x37'                               b'dockerd'       4655       1130     14       2236      15826
               b'ext4_evict_inode+0x30b'                               b'dockerd'       4655        962     42       2222      40413
                      b'blkdev_put+0x4e'                       b'systemd-gpt-aut'      16633        812     49       2189      39788
                    b'alloc_super+0x2ab'                            b'(ostnamed)'      16061       1447      7       2189      10132
                   b'lookup_dcache+0x46'                               b'systemd'          1        525  49758       2186   26167845
            b'__kernfs_create_file+0x7f'                               b'dockerd'       4655       1085     56       2185      60767
          b'ovl_get_workdir.isra.0+0x81'                               b'dockerd'       4655       1197     42       2176      50306
         b'netdev_register_kobject+0x92'                               b'dockerd'       4655       1148     14       2175      16084
                           b'evict+0xd2'                               b'dockerd'       4655       1127    421       2167     474547
         b'deactivate_locked_super+0x55'                               b'dockerd'       4655       1282     30       2156      38466
                     b'device_add+0x37f'                            b'(ostnamed)'      16061       1571      2       2156       3142
               b'ext4_evict_inode+0x30b'                               b'dockerd'       4655       1190     37       2139      44050
            b'kernfs_create_dir_ns+0x53'                               b'dockerd'       4655       1156     14       2139      16191
                          b'__fput+0xcc'                                  b'http'       8824       1482     22       2133      32621
                    b'alloc_super+0x2ab'                         b'runc:[2:INIT]'       6849       2103      1       2103       2103
            b'ep_eventpoll_release+0x1a'                       b'containerd-shim'       6823       1043     32       2083      33383
                     b'shmem_mknod+0x2b'                        b'systemd-logind'       1056       1367     19       2082      25975
                   b'kobject_uevent+0xb'                            b'(ostnamed)'      16061       1755      2       2073       3510
         b'netdev_register_kobject+0x92'                            b'(ostnamed)'      16061       1418      2       2062       2836
       b'__jbd2_log_wait_for_space+0xdb'                       b'systemd-journal'        679       1954      2       2059       3908
             b'notifier_call_chain+0x55'                               b'dockerd'       4655       1004      8       2057       8037
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1197     14       2052      16760
                b'sysfs_remove_dir+0x51'                               b'dockerd'       4655       1150      4       2052       4602
                    b'alloc_super+0x2ab'                        b'runc:[1:CHILD]'       6844       2052      1       2052       2052
                 b'exec_mm_release+0x18'                                   b'exe'       6842       2035      1       2035       2035
        b'kernfs_remove_by_name_ns+0x55'                               b'dockerd'       4655        903     16       2026      14462
               b'prealloc_shrinker+0xb4'                               b'dockerd'       4655       2022      1       2022       2022
                    b'alloc_super+0x290'                        b'runc:[1:CHILD]'       6844       2016      1       2016       2016
                    b'ext4_tmpfile+0xf6'                               b'dockerd'       4655       1364     42       2013      57319
                     b'device_add+0x37f'                               b'dockerd'       4655       1200     14       2002      16811
                b'vm_unmap_aliases+0x19'                               b'systemd'          1        709    420       1999     297821
        b'netdev_register_kobject+0x162'                            b'(ostnamed)'      16061       1417      2       1992       2834
             b'notifier_call_chain+0x55'                               b'dockerd'       4655       1201     14       1939      16827
              b'install_exec_creds+0x4a'                                 b'chage'      16380       1450     22       1936      31905
                      b'blkdev_get+0x3d'                       b'systemd-gpt-aut'      16633        884     49       1929      43329
            b'__jump_label_update+0x115'                               b'systemd'          1        785    120       1927      94292
                   b'kobject_uevent+0xb'                            b'(ostnamed)'      16061       1382      2       1916       2764
b'slab_caches_to_rcu_destroy_workfn+0x97'                          b'kworker/20:2'        409       1341      8       1912      10735
                    b'alloc_super+0x2ab'                               b'dockerd'       4655        996     42       1902      41862
               b'bpf_jit_alloc_exec+0xe'                               b'systemd'          1        811    420       1899     340854
               b'bpf_jit_alloc_exec+0xe'                                  b'sshd'       8478       1781      6       1899      10688
               b'sysfs_remove_link+0x19'                        b'runc:[1:CHILD]'       6844       1886      1       1886       1886
              b'kernfs_create_link+0x62'                               b'dockerd'       4655       1227     14       1870      17190
                   b'kobject_uevent+0xb'                               b'dockerd'       4655       1201     14       1867      16825
           b'cpuset_write_resmask+0x656'                                  b'runc'       6835       1468      4       1858       5873
                    b'alloc_super+0x290'                         b'runc:[2:INIT]'       6849       1851      1       1851       1851
                        b'do_exit+0x38c'                               b'python3'       6849       1294     36       1849      46607
                b'vm_unmap_aliases+0x19'                              b'modprobe'       6798       1215     81       1846      98418
             b'notifier_call_chain+0x55'                               b'dockerd'       4655       1262     14       1845      17673
                   b'shmem_symlink+0x65'                            b'containerd'       4510       1212     16       1845      19404
                   b'__lookup_slow+0x92'                         b'systemd-udevd'      15945       1342      3       1843       4028
                      b'device_add+0xed'                            b'(ostnamed)'      16061       1410      2       1835       2821
        b'kernfs_remove_by_name_ns+0x55'                               b'dockerd'       4655       1027      8       1833       8222
        b'kernfs_remove_by_name_ns+0x55'                               b'dockerd'       4655        992     20       1830      19849
            b'sysfs_remove_file_ns+0x15'                               b'dockerd'       4655       1109      4       1818       4437
               b'ext4_evict_inode+0x30b'                                  b'dpkg'      14175       1133    131       1816     148460
             b'sysfs_rename_dir_ns+0x37'                               b'dockerd'       4655       1211     15       1812      18165
                   b'kernfs_remove+0x3b'                               b'dockerd'       4655       1044      4       1809       4178
                     b'shmem_mknod+0x2b'                            b'(ostnamed)'      16061       1202     11       1802      13223
                b'inode_permission+0xe7'                               b'systemd'          1       1770      2       1796       3541
                 b'kobject_rename+0x138'                               b'dockerd'       4655       1212     15       1786      18190
        b'netdev_register_kobject+0x162'                               b'dockerd'       4655       1090     14       1782      15267
                     b'device_del+0x16d'                               b'dockerd'       4655       1058      4       1776       4232
                        b'fb_open+0x173'                                  b'lshw'       6960       1712      2       1765       3424
            b'__kernfs_create_file+0x7f'                                  b'runc'       6835        785    158       1762     124072
                   b'__lookup_slow+0x92'                               b'systemd'          1       1552      2       1762       3104
             b'remove_files.isra.0+0x35'                               b'dockerd'       4655        900     20       1758      18012
             b'sysfs_unmerge_group+0x42'                               b'dockerd'       4655        875      4       1755       3501
              b'css_killed_work_fn+0x57'                          b'kworker/10:2'       1096       1196      8       1749       9570
              b'kernfs_create_link+0x62'                        b'runc:[1:CHILD]'       6844       1745      1       1745       1745
               b'sysfs_remove_link+0x19'                               b'dockerd'       4655       1155      4       1742       4622
               b'cdrom_sysctl_info+0x1e'                                b'sysctl'       6967       1425      2       1742       2850
               b'proc_nmi_watchdog+0x2f'                                b'sysctl'       6967       1535      2       1729       3071
                  b'ext4_truncate+0x376'                               b'dockerd'       4655       1150     57       1728      65591
                        b'ops_init+0x42'                            b'(ostnamed)'      16061       1638      2       1715       3277
                      b'online_css+0x22'                               b'systemd'          1        906     73       1712      66156
              b'cgroup_procs_write+0x25'                               b'systemd'          1        923     53       1708      48954
                  b'do_init_module+0xd1'                              b'modprobe'       6798       1617      3       1705       4852
        b'dev_change_net_namespace+0xe2'                               b'dockerd'       4655       1314     15       1702      19712
                  b'kernfs_add_one+0xe2'                               b'dockerd'       4655       1053     14       1698      14748
                    b'alloc_super+0x290'                         b'runc:[2:INIT]'       6849       1690      1       1690       1690
         b'netdev_register_kobject+0x92'                               b'dockerd'       4655       1268     14       1686      17761
                  b'kernfs_add_one+0xe2'                        b'runc:[1:CHILD]'       6844       1682      1       1682       1682
                b'vm_unmap_aliases+0x19'                                  b'sshd'       8478       1403      6       1678       8422
              b'sysfs_remove_group+0x2a'                               b'dockerd'       4655       1051      4       1669       4205
               b'cpuset_css_online+0x7b'                                  b'runc'       6835       1665      1       1665       1665
                   b'kobject_uevent+0xb'                               b'dockerd'       4655        974     14       1662      13641
            b'sysfs_rename_link_ns+0x74'                               b'dockerd'       4655       1165     15       1649      17486
                       b'tty_open+0x1de'                               b'apt-get'      14175       1299      3       1635       3897
       b'rollback_registered_many+0x27e'                               b'dockerd'       4655       1131      4       1624       4527
        b'ctnetlink_get_conntrack+0x201'                               b'dockerd'       4655       1370      2       1605       2740
               b'bpf_jit_alloc_exec+0xe'                            b'(ostnamed)'      16061        763     43       1595      32851
       b'netdev_unregister_kobject+0x77'                               b'dockerd'       4655       1008     12       1588      12098
                   b'kobject_uevent+0xb'                               b'dockerd'       4655       1132      4       1585       4530
           b'create_new_namespaces+0xcc'                        b'runc:[1:CHILD]'       6844       1575      1       1575       1575
                     b'shmem_mknod+0x2b'                         b'runc:[2:INIT]'       6849       1129      6       1573       6778
                   b'kobject_uevent+0xb'                               b'dockerd'       4655       1089     14       1569      15247
     b'keyctl_join_session_keyring+0x41'                         b'runc:[2:INIT]'       6849       1562      1       1562       1562
                   b'kernfs_remove+0x3b'                               b'dockerd'       4655        996      4       1561       3986
                b'vm_unmap_aliases+0x19'                              b'modprobe'       6798       1551      1       1551       1551
        b'netdev_register_kobject+0x162'                               b'dockerd'       4655       1073     14       1541      15023
               b'ext4_evict_inode+0x30b'                               b'dockerd'       4655       1032     14       1532      14453
        b'disassociate_ctty.part.0+0xdb'                                  b'dpkg'      14175       1448      2       1530       2896
                   b'kobject_uevent+0xb'                               b'dockerd'       4655       1059     14       1522      14839
              b'sysfs_remove_group+0x50'                               b'dockerd'       4655       1017      4       1518       4070
                    b'alloc_super+0x2ab'                        b'runc:[1:CHILD]'       6844       1515      1       1515       1515
                   b'__lookup_slow+0x92'                              b'collectl'      14957        522    628       1512     328120
                           b'evict+0xd2'                       b'containerd-shim'       6823       1274      2       1508       2549
           b'__netlink_dump_start+0x191'                               b'dockerd'       4655       1280      2       1498       2560
        b'kernfs_remove_by_name_ns+0x55'                               b'dockerd'       4655       1303      2       1495       2606
                b'inode_permission+0xe7'                                  b'lshw'       6960        524   2302       1492    1208485
b'slab_caches_to_rcu_destroy_workfn+0x97'                          b'kworker/20:2'        409       1085      6       1486       6511
                 b'do_dentry_open+0x143'                               b'systemd'          1       1429      2       1474       2858
                     b'device_del+0x175'                               b'dockerd'       4655       1027      4       1452       4108
             b'remove_files.isra.0+0x35'                               b'dockerd'       4655        844     20       1448      16883
                   b'ext4_symlink+0x28f'                       b'update-alternat'      14404        684    610       1442     417586
          b'unix_seqpacket_recvmsg+0x1a'                         b'systemd-udevd'        723       1296      2       1425       2593
                   b'kobject_uevent+0xb'                               b'dockerd'       4655        930      4       1425       3723
               b'wext_handle_ioctl+0x7c'                        b'NetworkManager'      16054        922     19       1422      17533
                     b'ext4_rmdir+0x227'                               b'dockerd'       4655       1008     14       1418      14115
                    b'lookup_fast+0x281'                               b'systemd'          1       1219      2       1418       2439
                b'vm_unmap_aliases+0x19'                                  b'sshd'       8478       1271      6       1415       7626
              b'sysfs_remove_group+0x50'                               b'dockerd'       4655        934      4       1410       3736
                b'vm_unmap_aliases+0x19'                              b'modprobe'       6798       1033     81       1395      83679
                      b'online_css+0x22'                                  b'runc'       6835        994      8       1388       7957
                     b'device_del+0x2d7'                               b'dockerd'       4655        992      4       1383       3971
             b'sysfs_unmerge_group+0x1d'                               b'dockerd'       4655        788      4       1381       3153
            b'layout_and_allocate+0x855'                              b'modprobe'       6798       1375      1       1375       1375
                           b'evict+0xd2'                       b'containerd-shim'       6823       1368      1       1368       1368
                b'module_finalize+0x11b'                              b'modprobe'       6798       1361      1       1361       1361
         b'do_ip_setsockopt.isra.0+0x49'                          b'avahi-daemon'      16339       1017      6       1360       6105
                b'inode_permission+0xe7'                               b'systemd'          1       1349      1       1349       1349
                   b'load_module+0x106f'                              b'modprobe'       6798       1215      2       1345       2430
                     b'shmem_mknod+0x2b'                               b'systemd'          1       1002      2       1341       2004
                           b'mmput+0x27'                                b'strace'      14990       1121     12       1328      13458
        b'kernfs_remove_by_name_ns+0x55'                               b'dockerd'       4655        918      4       1326       3674
               b'proc_nmi_watchdog+0x2f'                                b'sysctl'       6967       1290      2       1325       2580
           b'__do_sys_finit_module+0xbe'                              b'modprobe'       6798       1185      2       1315       2370
                   b'sock_do_ioctl+0xea'                               b'netstat'      15777       1311      1       1311       1311
                b'vm_unmap_aliases+0x19'                              b'modprobe'       6798       1197     81       1308      97018
                b'inode_permission+0xe7'                               b'systemd'          1        515   8657       1287    4464156
          b'unix_seqpacket_recvmsg+0x1a'                         b'systemd-udevd'        723       1188      2       1285       2376
            b'__jump_label_update+0x115'                                  b'runc'       6835       1285      1       1285       1285
             b'sysfs_unmerge_group+0x1d'                               b'dockerd'       4655        841      4       1285       3365
               b'rhashtable_destroy+0xd'                               b'dockerd'       4655       1254      2       1275       2509
                b'vm_unmap_aliases+0x19'                              b'modprobe'       6798       1271      1       1271       1271
                    b'lookup_fast+0x281'                               b'systemd'          1       1267      1       1267       1267
                    b'lookup_fast+0x281'                                  b'lshw'       6960        532   1555       1267     828116
                    b'lookup_fast+0x281'                            b'(ostnamed)'      16061        589     10       1261       5890
         b'deactivate_locked_super+0x48'                       b'systemd-hostnam'      16061       1261      1       1261       1261
                      b'misc_open+0x11e'                        b'NetworkManager'      16054       1115      4       1258       4461
                   b'kobject_uevent+0xb'                            b'(ostnamed)'      16061       1027      2       1245       2055
             b'notifier_call_chain+0x55'                              b'modprobe'       6798       1092      4       1235       4369
              b'tty_jobctrl_ioctl+0x137'                               b'apt-get'      14175       1207      2       1232       2414
                   b'kobject_uevent+0xb'                              b'modprobe'       6798       1231      1       1231       1231
                b'vm_unmap_aliases+0x19'                              b'modprobe'       6798       1224      1       1224       1224
                b'vm_unmap_aliases+0x19'                              b'modprobe'       6798       1224      1       1224       1224
              b'ftrace_module_init+0x29'                              b'modprobe'       6798       1224      1       1224       1224
                    b'alloc_super+0x2ab'                         b'runc:[2:INIT]'       6849       1220      1       1220       1220
                b'vm_unmap_aliases+0x19'                               b'systemd'          1        575    420       1218     241823
                b'vm_unmap_aliases+0x19'                              b'modprobe'       6798       1018     81       1218      82530
           b'update_cpumasks_hier+0x220'                                  b'runc'       6835       1161      2       1218       2323
                      b'sd_release+0x3e'                       b'systemd-gpt-aut'      16633        744     45       1217      33499
                b'inode_permission+0xe7'                       b'containerd-shim'       6823       1208      1       1208       1208
                    b'tty_release+0x111'                               b'apt-get'       8821       1208      1       1208       1208
                b'inode_permission+0xe7'                                 b'lsmem'       6964        663    167       1205     110807
            b'__jump_label_update+0x115'                               b'systemd'          1        645    120       1201      77412
 b'ftrace_arch_code_modify_prepare+0x1a'                              b'modprobe'       6798       1198      1       1198       1198
                   b'devinet_ioctl+0xaa'                               b'netstat'      15777        924     31       1191      28672
                    b'cgroup_mkdir+0x3e'                                  b'runc'       6835        711     22       1185      15660
                    b'tty_release+0x420'                               b'apt-get'       8821       1185      1       1185       1185
                   b'load_module+0x1077'                              b'modprobe'       6798       1185      1       1185       1185
                b'kernfs_xattr_get+0x23'                       b'containerd-shim'       6823       1184      1       1184       1184
                b'dpm_sysfs_remove+0x2c'                               b'dockerd'       4655        802      8       1184       6416
             b'static_key_slow_inc+0x1b'                               b'systemd'          1        670     60       1182      40226
                b'vm_unmap_aliases+0x19'                              b'modprobe'       6798       1174      1       1174       1174
             b'notifier_call_chain+0x55'                              b'modprobe'       6798       1064      4       1171       4258
    b'cgroup_apply_control_enable+0x147'                               b'systemd'          1        709     19       1165      13489
                         b'__fput+0x1ff'                                  b'bash'       6849       1049      2       1159       2098
                   b'dev_attr_show+0x1d'                                  b'lshw'       6960        906     32       1149      28993
                b'pty_flush_buffer+0x27'                               b'apt-get'       8821       1141      1       1141       1141
                   b'__lookup_hash+0x70'                                  b'runc'       6835        698     22       1138      15375
                b'inode_permission+0xe7'                                  b'lshw'       6960        618     80       1138      49485
            b'kernfs_create_dir_ns+0x53'                              b'modprobe'       6798       1138      1       1138       1138
       b'key_instantiate_and_link+0x172'                         b'runc:[2:INIT]'       6849       1135      1       1135       1135
                   b'cgroup_mkdir+0x12a'                                  b'runc'       6835        693     22       1133      15251
             b'static_key_slow_dec+0x24'                               b'systemd'          1        636     60       1129      38201
                b'vm_unmap_aliases+0x19'                              b'modprobe'       6798       1128      1       1128       1128
                        b'traverse+0x6c'                                  b'head'      15011       1128      1       1128       1128
               b'sysfs_remove_link+0x19'                               b'dockerd'       4655       1123      2       1125       2246
          b'cgroup_bpf_prog_attach+0x3f'                               b'systemd'          1        588    420       1124     247203
       b'fscache_max_active_sysctl+0x39'                                b'sysctl'       6967       1093      4       1118       4373
                           b'evict+0xd2'                       b'systemd-hostnam'      16061       1118      1       1118       1118
                      b'tty_ioctl+0x5bc'                                  b'bash'       5818       1118      1       1118       1118
            b'__kernfs_create_file+0x7f'                                  b'runc'       6835        689     88       1114      60678
                b'sysfs_remove_dir+0x51'                               b'dockerd'       4655        907      4       1113       3631
                    b'load_module+0x9dd'                              b'modprobe'       6798       1034     84       1111      86871
                       b'veth_init+0x15'                              b'modprobe'       6798       1111      1       1111       1111
                   b'__lookup_slow+0x92'                         b'runc:[2:INIT]'       6849       1105      1       1105       1105
                     b'__vfs_write+0x1b'                        b'NetworkManager'      16054       1084      2       1102       2169
                  b'kernfs_add_one+0xe2'                              b'modprobe'       6798       1098      1       1098       1098
                b'vm_unmap_aliases+0x19'                              b'modprobe'       6798       1098      1       1098       1098
            b'__kernfs_create_file+0x7f'                              b'modprobe'       6798       1043     18       1098      18780
       b'netdev_unregister_kobject+0x6f'                               b'dockerd'       4655        883      4       1095       3535
            b'__kernfs_create_file+0x7f'                              b'modprobe'       6798       1061      2       1095       2123
               b'sysfs_remove_link+0x19'                               b'dockerd'       4655        846      2       1092       1692
